Brain VOIs Based on Maximum Probabilty Atlas: N30R83 Brain Structures 			
	
% %--------------------------------------------------------------------------------------------------------------------------
Frontal Lobe	VoiName(Region)	
% %--------------------------------------------------------------------------------------------------------------------------
	1	FL_mid_fr_G_l	Frontal Lobe Middle Front Gyrus (Left)
	2	FL_mid_fr_G_r	Frontal Lobe Middle Front Gyrus (Right)
	3	FL_precen_G_l	Frontal Lobe Precentral Gyrus (Left)
	4	FL_precen_G_r	Frontal Lobe Precentral Gyrus (Right)
	5	FL_strai_G_l	Frontal Lobe Straight Gyrus (Left)
	6	FL_strai_G_r	Frontal Lobe Straight Gyrus (Right)
	7	FL_OFC_AOG_l	Frontal Lobe Orbitofrontal Cortex Anterior Orbital Gyrus (Left)
	8	FL_OFC_AOG_r	Frontal Lobe Orbitofrontal Cortex Anterior Orbital Gyrus (Right)
	9	FL_inf_fr_G_l	Frontal Lobe Inferior Frontal Gyrus (Left)
	10	FL_inf_fr_G_r	Frontal Lobe Inferior Frontal Gyrus (Right)
	11	FL_sup_fr_G_l	Frontal Lobe Superior Frontal Gyrus (Left)
	12	FL_sup_fr_G_r	Frontal Lobe Superior Frontal Gyrus (Right)
	13	FL_OFC_MOG_l	Frontal Lobe Orbitofrontal Gyrus Medial Orbital Gyrus (Left)
	14	FL_OFC_MOG_r	Frontal Lobe Orbitofrontal Gyrus Medial Orbital Gyrus (Right)
	15	FL_OFC_LOG_l	Frontal Lobe Orbitofrontal Gyrus Lateral Orbital Gyrus (Left)
	16	FL_OFC_LOG_r	Frontal Lobe Orbitofrontal Gyrus Lateral Orbital Gyrus (Right)
	17	FL_OFC_POG_l	Frontal Lobe Orbitofrontal Gyrus Posterior Orbital Gyrus (Left)
	18	FL_OFC_POG_r	Frontal Lobe Orbitofrontal Gyrus Posterior Orbital Gyrus (Right)
	19	Subgen_antCing_l	Subgenual Anterior Cingulate Gyrus (Left)
	20	Subgen_antCing_r	Subgenual Anterior Cingulate Gyrus (Right)
	21	Subcall_area_l	Subcallosal Area (Left)
	22	Subcall_area_r	Subcallosal Area (Right)
	23	Presubgen_antCing_l	Pre-subgenual Anterior Cingulate Gyrus (Left)
	24	Presubgen_antCing_r	Pre-subgenual Anterior Cingulate Gyrus (Right)
% %--------------------------------------------------------------------------------------------------------------------------
% %	Temporal Lobe	
% %--------------------------------------------------------------------------------------------------------------------------
	25	Hippocampus_r	Hippocampus (Right)
