Brain VOIs Based on Maximum Probabilty Atlas: N30R83 Brain Structures 			
	
% %--------------------------------------------------------------------------------------------------------------------------
Frontal Lobe	VoiName(Region)	
% %--------------------------------------------------------------------------------------------------------------------------
	1	Hippocampus
	2	Caudate Nucleus
	3	Putamen
	4	Thalamus
	5	Corpus Callosum
	6	Cerebellum
	7	Brainstem
	8	Whole Brain
% %--------------------------------------------------------------------------------------------------------------------------
